ID,MAINTAINER,REPO,CONTRIBUTIONS,NAME
30875,github@alexcrichton,https://github.com/rust-lang/rust,3456,core-nightly
30875,github@nikomatsakis,https://github.com/rust-lang/rust,3928,core-nightly
30875,github@brson,https://github.com/rust-lang/rust,5254,core-nightly
30877,github@TyOverby,https://github.com/TyOverby/cowrc,5,cowrc
30878,github@mitchmindtree,https://github.com/tomaka/cpal,92,cpal
30878,github@tomaka,https://github.com/tomaka/cpal,176,cpal
30879,github@dovahcrow,https://github.com/doomsplayer/cppStream,9,cppStream
30880,github@zsiciarz,https://github.com/zsiciarz/rust-cpuid,93,cpuid
30881,github@iterion,https://github.com/iterion/cql-rust,16,cql-rust
30884,github@danburkert,https://github.com/danburkert/crdt,44,crdt
30887,github@lifthrasiir,https://github.com/lifthrasiir/cson-rust,41,cson
30888,github@badboy,https://github.com/badboy/crc64-rs,33,crc64-rs
30890,github@SimonSapin,https://github.com/servo/rust-cssparser,496,cssparser
30891,github@GuillaumeGomez,https://github.com/GuillaumeGomez/c_str-rs,21,c_str
30892,github@mzabaluev,https://github.com/mzabaluev/rust-c-str,190,c_string
30894,github@BurntSushi,https://github.com/BurntSushi/rust-csv,337,csv
30896,github@alexcrichton,https://github.com/alexcrichton/curl-rust,407,curl-sys
30897,github@alexcrichton,https://github.com/alexcrichton/curl-rust,407,curl
30898,github@bvssvni,https://github.com/pistondevelopers/current,69,current
30899,github@GuillaumeGomez,https://github.com/GuillaumeGomez/c_vec-rs,34,c_vec
30900,github@IvanUkhov,https://github.com/stainless-steel/date,20,date
30901,github@skade,https://github.com/skade/db-key,20,db_key
30903,github@diwic,https://github.com/diwic/dbus-rs,246,dbus-rs
30904,github@reem,https://github.com/reem/rust-debug-unreachable,15,debug_unreachable
30906,github@kinghajj,https://github.com/kinghajj/deque,45,deque
30910,github@dtantsur,https://github.com/dtantsur/rust-dht,115,dht
30911,github@Nercury,https://github.com/Nercury/di-rs,121,di
30912,github@steveklabnik,https://github.com/steveklabnik/dining_philosophers,43,dining_philosophers
30914,github@paholg,https://github.com/paholg/dimensioned,170,dimensioned
30915,github@IvanUkhov,https://github.com/IvanUkhov/dl,3,dl
30916,github@dovahcrow,https://github.com/doomsplayer/distributions,3,distributions
30919,github@tomjakubowski,https://github.com/tomjakubowski/doc_file,16,doc_file
30920,github@BurntSushi,https://github.com/docopt/docopt.rs,312,docopt
