ID,NAME,PLATFORM
125612,easregprov-sys,Cargo
125613,efswrt-sys,Cargo
125614,ehstorguids-sys,Cargo
125615,elscore-sys,Cargo
125616,elfapi-sys,Cargo
125617,els-sys,Cargo
125618,esent-sys,Cargo
125619,evr_vista-sys,Cargo
125620,evr-sys,Cargo
125621,faultrep-sys,Cargo
125622,feclient-sys,Cargo
125623,fhsvcctl-sys,Cargo
125624,fileextd-sys,Cargo
125625,fltlib-sys,Cargo
125626,fontsub-sys,Cargo
125627,format-sys,Cargo
125628,framedyd-sys,Cargo
125629,framedyn-sys,Cargo
125630,fxsutility-sys,Cargo
125631,fwpuclnt-sys,Cargo
125632,gdiplus-sys,Cargo
125633,glmf32-sys,Cargo
125634,glu32-sys,Cargo
125635,gpedit-sys,Cargo
125636,gpmuuid-sys,Cargo
125637,hbaapi-sys,Cargo
125638,hhsetup-sys,Cargo
125639,hid-sys,Cargo
125640,hlink-sys,Cargo
125641,htmlhelp-sys,Cargo
125642,httpapi-sys,Cargo
125643,icm32-sys,Cargo
125644,icmui-sys,Cargo
125645,iashlpr-sys,Cargo
125646,identicon,Cargo
125647,iepmapi-sys,Cargo
125648,iesetup-sys,Cargo
125649,imagehlp-sys,Cargo
125650,imgutil-sys,Cargo
125651,imm32-sys,Cargo
125652,infocardapi-sys,Cargo
125653,inseng-sys,Cargo
125654,int64-sys,Cargo
125655,iprop-sys,Cargo
125656,iphlpapi-sys,Cargo
125657,irprops-sys,Cargo
125658,iscsidsc-sys,Cargo
125659,jetoledb-sys,Cargo
125660,jsrt-sys,Cargo
125661,kerbcli-sys,Cargo
125662,ksproxy-sys,Cargo
125663,ktmw32-sys,Cargo
125664,ksuser-sys,Cargo
125665,loadperf-sys,Cargo
125666,locationapi-sys,Cargo
125667,lz32-sys,Cargo
125668,mapi32-sys,Cargo
125669,magnification-sys,Cargo
125670,mbnapi_uuid-sys,Cargo
125671,mciole32-sys,Cargo
125672,mdmregistration-sys,Cargo
125673,memcached-rs,Cargo
125674,mfcore-sys,Cargo
125675,mfplat-sys,Cargo
125676,mfplat_vista-sys,Cargo
125677,mfplay-sys,Cargo
125678,mfsrcsnk-sys,Cargo
125679,mfreadwrite-sys,Cargo
125680,mf-sys,Cargo
125681,mf_vista-sys,Cargo
125682,mfuuid-sys,Cargo
125683,mgmtapi-sys,Cargo
125684,mincore-sys,Cargo
125685,mincore_downlevel-sys,Cargo
125686,mi-sys,Cargo
125687,mmc-sys,Cargo
125688,mmdevapi-sys,Cargo
125689,mprsnap-sys,Cargo
125690,mprapi-sys,Cargo
125691,mpr-sys,Cargo
125692,mqrt-sys,Cargo
125693,msaatext-sys,Cargo
125694,msacm32-sys,Cargo
125695,mscms-sys,Cargo
125696,mscoree-sys,Cargo
125697,mscorsn-sys,Cargo
125698,mqoa-sys,Cargo
125699,msctfmonitor-sys,Cargo
125700,msdasc-sys,Cargo
125701,msdelta-sys,Cargo
125702,msdrm-sys,Cargo
125703,msdmo-sys,Cargo
125704,msimg32-sys,Cargo
125705,msi-sys,Cargo
125706,mspatcha-sys,Cargo
125707,mspbase-sys,Cargo
